grid_id,lat,lon,climate_sequence_id,power_lat,power_lon
AHN-00379,23.45562097540729,49.28674641274653,CLIMS23p25_49p25,23.25,49.25
AHN-00380,23.456665254028632,49.384615529565686,CLIMS23p25_49p25,23.25,49.25
AHN-00381,23.457648178364238,49.48249013072671,CLIMS23p25_49p25,23.25,49.25
AHN-00382,23.45856973497161,49.58036988440163,CLIMS23p25_49p75,23.25,49.75
AHN-00383,23.459429911273947,49.6782544586365,CLIMS23p25_49p75,23.25,49.75
AHN-00384,23.46022869552933,49.77614352140352,CLIMS23p25_49p75,23.25,49.75
AHN-00385,23.460966076813556,49.87403674057893,CLIMS23p25_49p75,23.25,49.75
AHN-00386,23.528523656795706,48.11089915241571,CLIMS23p75_48p25,23.75,48.25
AHN-00387,23.530310490370255,48.208742995776625,CLIMS23p75_48p25,23.75,48.25
AHN-00388,23.532035932950766,48.306596323784554,CLIMS23p75_48p25,23.75,48.25
AHN-00389,23.533699961037687,48.40445880532719,CLIMS23p75_48p25,23.75,48.25
AHN-00390,23.535302551908146,48.502330109153945,CLIMS23p75_48p75,23.75,48.75
AHN-00391,23.53684368369317,48.60020990378481,CLIMS23p75_48p75,23.75,48.75
AHN-00392,23.538323335370567,48.698097857625974,CLIMS23p75_48p75,23.75,48.75
AHN-00393,23.539741486728317,48.795993638872304,CLIMS23p75_48p75,23.75,48.75
AHN-00394,23.541098118414766,48.89389691560724,CLIMS23p75_48p75,23.75,48.75
AHN-00395,23.542393211904518,48.99180735571823,CLIMS23p75_48p75,23.75,48.75
AHN-00396,23.54362674950797,49.08972462700112,CLIMS23p75_49p25,23.75,49.25
AHN-00397,23.544798714377887,49.18764839706852,CLIMS23p75_49p25,23.75,49.25
AHN-00398,23.54590909050146,49.285578333439126,CLIMS23p75_49p25,23.75,49.25
AHN-00399,23.54695786271579,49.383514103498115,CLIMS23p75_49p25,23.75,49.25
AHN-00400,23.547945016680142,49.48145537450232,CLIMS23p75_49p25,23.75,49.25
AHN-00401,23.54887053891392,49.57940181362172,CLIMS23p75_49p75,23.75,49.75
AHN-00402,23.549734416758287,49.67735308789596,CLIMS23p75_49p75,23.75,49.75
AHN-00403,23.55053663841352,49.77530886429958,CLIMS23p75_49p75,23.75,49.75
AHN-00404,23.551277192906348,49.87326880969487,CLIMS23p75_49p75,23.75,49.75
AHN-00405,23.618736090990797,48.108923077786045,CLIMS23p75_48p25,23.75,48.25
AHN-00406,23.6205305886574,48.20683362809435,CLIMS23p75_48p25,23.75,48.25
AHN-00407,23.62226343222917,48.30475369181494,CLIMS23p75_48p25,23.75,48.25
AHN-00408,23.62393459803275,48.402682936846986,CLIMS23p75_48p25,23.75,48.25
AHN-00409,23.625544063263895,48.50062103092356,CLIMS23p75_48p75,23.75,48.75
AHN-00410,23.627091805943778,48.5985676415706,CLIMS23p75_48p75,23.75,48.75
AHN-00411,23.628577804918457,48.696522436185724,CLIMS23p75_48p75,23.75,48.75
AHN-00412,23.630002039900063,48.79448508197397,CLIMS23p75_48p75,23.75,48.75
AHN-00413,23.631364491414125,48.89245524599259,CLIMS23p75_48p75,23.75,48.75
AHN-00414,23.63266514084901,48.99043259514606,CLIMS23p75_48p75,23.75,48.75
AHN-00415,23.63390397042492,49.08841679621045,CLIMS23p75_49p25,23.75,49.25
AHN-00416,23.63508096320254,49.186407515800234,CLIMS23p75_49p25,23.75,49.25
AHN-00417,23.63619610309154,49.28440442042348,CLIMS23p75_49p25,23.75,49.25
AHN-00418,23.637249374851674,49.382407176457,CLIMS23p75_49p25,23.75,49.25
AHN-00419,23.638240764062864,49.48041545014779,CLIMS23p75_49p25,23.75,49.25
AHN-00420,23.63917025716722,49.578428907657845,CLIMS23p75_49p75,23.75,49.75
AHN-00421,23.640037841469766,49.676447215018264,CLIMS23p75_49p75,23.75,49.75
AHN-00422,23.640843505078507,49.77447003818997,CLIMS23p75_49p75,23.75,49.75
AHN-00423,23.64158723697813,49.87249704301334,CLIMS23p75_49p75,23.75,49.75
AHN-00424,23.708947320155154,48.10693715779537,CLIMS23p75_48p25,23.75,48.25
AHN-00425,23.710749492097698,48.204914746963105,CLIMS23p75_48p25,23.75,48.25
AHN-00426,23.712489746474425,48.302901878501565,CLIMS23p75_48p25,23.75,48.25
AHN-00427,23.714168059500473,48.40089821929562,CLIMS23p75_48p25,23.75,48.25
AHN-00428,23.715784408235567,48.49890343607761,CLIMS23p75_48p25,23.75,48.25
AHN-00429,23.717338770587105,48.596917195366274,CLIMS23p75_48p75,23.75,48.75
AHN-00430,23.718831125314292,48.69493916354194,CLIMS23p75_48p75,23.75,48.75
AHN-00431,23.720261451996336,48.79296900680308,CLIMS23p75_48p75,23.75,48.75
AHN-00432,23.721629731077694,48.89100639121189,CLIMS23p75_48p75,23.75,48.75
AHN-00433,23.72293594384825,48.9890509826387,CLIMS23p75_48p75,23.75,48.75
AHN-00434,23.72418007243166,49.087102446862005,CLIMS23p75_49p25,23.75,49.25
AHN-00435,23.725362099814152,49.18516044947515,CLIMS23p75_49p25,23.75,49.25
AHN-00436,23.726482009813537,49.283224655985904,CLIMS23p75_49p25,23.75,49.25
AHN-00437,23.727539787094212,49.38129473172688,CLIMS23p75_49p25,23.75,49.25
AHN-00438,23.728535417198387,49.479370341964,CLIMS23p75_49p25,23.75,49.25
AHN-00439,23.729468886483268,49.57745115181686,CLIMS23p75_49p75,23.75,49.75
AHN-00440,23.73034018215989,49.675536826319664,CLIMS23p75_49p75,23.75,49.75
AHN-00441,23.799157340383996,48.104941362492454,CLIMS23p75_48p25,23.75,48.25
AHN-00442,23.800967196845615,48.202986323435105,CLIMS23p75_48p25,23.75,48.25
AHN-00443,23.802714871911583,48.30104085589293,CLIMS23p75_48p25,23.75,48.25
AHN-00444,23.804400341685128,48.3991046257306,CLIMS23p75_48p25,23.75,48.25
AHN-00445,23.80602358310699,48.497177298680505,CLIMS23p75_48p25,23.75,48.25
AHN-00446,23.807584573978097,48.59525854023784,CLIMS23p75_48p75,23.75,48.75
AHN-00447,23.809083292932552,48.693348015777744,CLIMS23p75_48p75,23.75,48.75
AHN-00448,23.810519719461468,48.79144539046945,CLIMS23p75_48p75,23.75,48.75
AHN-00449,23.811893833905987,48.88955032936186,CLIMS23p75_48p75,23.75,48.75
AHN-00450,23.813205617449015,48.987662497330795,CLIMS23p75_48p75,23.75,48.75
AHN-00451,23.814455052127638,49.08578155907976,CLIMS23p75_49p25,23.75,49.25
AHN-00452,23.81564212083591,49.18390717924801,CLIMS23p75_49p25,23.75,49.25
AHN-00453,23.81676680731803,49.28203902227344,CLIMS23p75_49p25,23.75,49.25
AHN-00454,23.817829096160274,49.38017675249033,CLIMS23p75_49p25,23.75,49.25
AHN-00455,23.81882897280872,49.47832003413174,CLIMS23p75_49p25,23.75,49.25
AHN-00456,23.81976642357369,49.57646853131992,CLIMS23p75_49p75,23.75,49.75
AHN-00457,23.8893661477587,48.10293566172235,CLIMS23p75_48p25,23.75,48.25
AHN-00458,23.891183699026843,48.20104832836571,CLIMS23p75_48p25,23.75,48.25
AHN-00459,23.8929388047351,48.29917059584258,CLIMS23p75_48p25,23.75,48.25
AHN-00460,23.89463144084641,48.397302129034806,CLIMS23p75_48p25,23.75,48.25
AHN-00461,23.89626158420665,48.495442592626695,CLIMS23p75_48p25,23.75,48.25
AHN-00462,23.897829212480644,48.59359165111002,CLIMS23p75_48p75,23.75,48.75
AHN-00463,23.89933430420032,48.69174896881574,CLIMS23p75_48p75,23.75,48.75
AHN-00464,23.900776838756745,48.789914209911224,CLIMS23p75_48p75,23.75,48.75
AHN-00465,23.902156796383515,48.888087038423855,CLIMS23p75_48p75,23.75,48.75
AHN-00466,23.90347415817132,48.98626711817539,CLIMS23p75_48p75,23.75,48.75
AHN-00467,23.904728906069153,49.08445411288439,CLIMS23p75_49p25,23.75,49.25
AHN-00468,23.90592102287735,49.182647686128,CLIMS23p75_49p25,23.75,49.25
AHN-00469,23.907050492255024,49.280847501336716,CLIMS23p75_49p25,23.75,49.25
AHN-00470,23.90811729871434,49.37905322180763,CLIMS23p75_49p25,23.75,49.25
AHN-00471,23.9091214276332,49.477264510756676,CLIMS23p75_49p25,23.75,49.25
AHN-00472,23.97957373837634,48.10092002513789,CLIMS23p75_48p25,23.75,48.25
AHN-00473,23.98139899481253,48.19910073240467,CLIMS23p75_48p25,23.75,48.25
AHN-00474,23.98316154115185,48.29729107005329,CLIMS23p75_48p25,23.75,48.25
AHN-00475,23.98486135326395,48.39549070191432,CLIMS23p75_48p25,23.75,48.25
AHN-00476,23.986498407842657,48.49369929164244,CLIMS23p75_48p25,23.75,48.25
AHN-00477,23.988072682453815,48.591916502705935,CLIMS23p75_48p75,23.75,48.75
AHN-00478,23.989584155535177,48.690141998435095,CLIMS23p75_48p75,23.75,48.75
AHN-00479,23.99103280634734,48.78837544192784,CLIMS23p75_48p75,23.75,48.75
AHN-00480,23.992418615036115,48.886616496197334,CLIMS23p75_48p75,23.75,48.75
AHN-00481,23.993741562589832,48.98486482403554,CLIMS23p75_48p75,23.75,48.75
AHN-00482,23.995001630869492,49.08312008813054,CLIMS23p75_49p25,23.75,49.25
AHN-00483,23.99619880258435,49.1813819510202,CLIMS23p75_49p25,23.75,49.25
AHN-00484,23.997333061305003,49.27965007510208,CLIMS23p75_49p25,23.75,49.25
AHN-00485,23.998404391473528,49.37792412264005,CLIMS23p75_49p25,23.75,49.25
AHN-00486,23.999412778394007,49.47620375581695,CLIMS23p75_49p25,23.75,49.25
AHN-00487,24.069780108345483,48.09889442217704,CLIMS24p25_48p25,24.25,48.25
AHN-00488,24.07161308035691,48.197143506049166,CLIMS24p25_48p25,24.25,48.25
AHN-00489,24.073383077394762,48.29540225001167,CLIMS24p25_48p25,24.25,48.25
AHN-00490,24.075090075194556,48.39367031688557,CLIMS24p25_48p25,24.25,48.25
AHN-00491,24.076734050345657,48.49194736927052,CLIMS24p25_48p25,24.25,48.25
AHN-00492,24.0783149803034,48.5902330696281,CLIMS24p25_48p75,24.25,48.75
AHN-00493,24.079832843361327,48.68852708023577,CLIMS24p25_48p75,24.25,48.75
AHN-00494,24.081287618716974,48.78682906315639,CLIMS24p25_48p75,24.25,48.75
AHN-00495,24.08267928637961,48.885138680358445,CLIMS24p25_48p75,24.25,48.75
AHN-00496,24.084007827266127,48.98345559361392,CLIMS24p25_48p75,24.25,48.75
AHN-00497,24.085273223123945,49.08177946456168,CLIMS24p25_49p25,24.25,49.25
AHN-00498,24.086475456587777,49.18010995469549,CLIMS24p25_49p25,24.25,49.25
AHN-00499,24.087614511149614,49.27844672537271,CLIMS24p25_49p25,24.25,49.25
AHN-00500,24.08869037116277,49.37678943782607,CLIMS24p25_49p25,24.25,49.25
AHN-00501,24.089703021838,49.47513775318482,CLIMS24p25_49p25,24.25,49.25
AHN-00502,24.159985253775282,48.09685882209261,CLIMS24p25_48p25,24.25,48.25
